利润率,记录数,制造商,产品名称,利润,发货日期,国家,地区,城市,子类别,客户名称,折扣,数量,省/自治区,类别,细分,订单 Id,订单日期,邮寄方式,销售额
-10%,1,Avery,"Avery 装订机, 耐用",-￥8,2017/5/23,中国,西南,成都,装订机,周柏,40%,2,四川,办公用品,小型企业,US-2017-5822232,2017/5/20,二级,￥81
-43%,1,Acco,"Acco 装订机盖, 耐用",-￥54,2017/5/23,中国,西南,成都,装订机,周柏,40%,3,四川,办公用品,小型企业,US-2017-5822232,2017/5/20,二级,￥124
-350%,1,Sanford,"Sanford 速写本, 金属",-￥611,2017/5/23,中国,西南,成都,美术,周柏,80%,4,四川,办公用品,小型企业,US-2017-5822232,2017/5/20,二级,￥174
11%,1,Kraft,"Kraft 局间信封, 红色",￥26,2014/1/13,中国,华北,天津,信封,贺虹,0%,1,天津,办公用品,公司,CN-2014-2766233,2014/1/11,一级,￥235
-40%,1,Advantus,"Advantus 相框, 一包多件",-￥298,2017/5/18,中国,东北,丹东,用具,许辉,40%,5,辽宁,家具,消费者,US-2017-4944475,2017/5/13,二级,￥743
-33%,1,诺基亚,"诺基亚 智能手机, 全尺寸",-￥232,2016/11/11,中国,东北,凤城,电话,孔关茵,40%,2,辽宁,技术,公司,CN-2016-4180783,2016/11/5,标准级,￥697
9%,1,Avery,"Avery 订书机, 回收",￥62,2017/12/26,中国,华北,北京,装订机,廖立,0%,3,北京,办公用品,小型企业,CN-2017-3172853,2017/12/24,一级,￥689
21%,1,Tenex,"Tenex 分层置放架, 黑色",￥49,2017/10/17,中国,华东,文登,用具,葛欢,0%,2,山东,家具,公司,CN-2017-4936120,2017/10/13,标准级,￥235
28%,1,Enermax,"Enermax 记忆卡, 实惠",￥299,2016/4/7,中国,中南,郑州,配件,常君,0%,2,河南,技术,公司,CN-2016-2275835,2016/4/2,标准级,"￥1,068"
43%,1,Stockwell,"Stockwell 图钉, 每包 12 个",￥50,2015/4/5,中国,东北,长春,系固件,邓达侠,0%,2,吉林,办公用品,消费者,CN-2015-1564715,2015/4/1,标准级,￥117
16%,1,冲电器,"冲电器 喷墨打印机, 耐用",￥704,2015/4/5,中国,东北,长春,设备,邓达侠,0%,3,吉林,技术,消费者,CN-2015-1564715,2015/4/1,标准级,"￥4,399"
44%,1,Advantus,"Advantus 框架, 一包多件",￥456,2015/4/5,中国,东北,长春,用具,邓达侠,0%,2,吉林,家具,消费者,CN-2015-1564715,2015/4/1,标准级,"￥1,038"
-2%,1,KitchenAid,"KitchenAid 炉灶, 黑色",-￥187,2016/11/25,中国,东北,大连,器具,卢谙,40%,7,辽宁,办公用品,小型企业,US-2016-4427946,2016/11/21,标准级,"￥11,164"
-60%,1,佳能,"佳能 传真复印机, 每套两件","-￥1,607",2016/11/25,中国,东北,大连,复印机,卢谙,40%,5,辽宁,技术,小型企业,US-2016-4427946,2016/11/21,标准级,"￥2,679"
45%,1,Jiffy,"Jiffy 马尼拉纸信封, 回收",￥208,2016/11/25,中国,东北,大连,信封,卢谙,0%,4,辽宁,办公用品,小型企业,US-2016-4427946,2016/11/21,标准级,￥463
-67%,1,Avery,"Avery 装订机, 回收",-￥25,2016/11/25,中国,东北,大连,装订机,卢谙,40%,1,辽宁,办公用品,小型企业,US-2016-4427946,2016/11/21,标准级,￥37
5%,1,SanDisk,"SanDisk 计划信息表, 每包 12 个",￥19,2017/7/1,中国,中南,许昌,纸张,李黎明,0%,3,河南,办公用品,小型企业,CN-2017-3230180,2017/6/26,标准级,￥391
44%,1,Rubbermaid,"Rubvermaid 分层置放架, 耐用",￥91,2017/7/1,中国,中南,许昌,用具,李黎明,0%,2,河南,家具,小型企业,CN-2017-3230180,2017/6/26,标准级,￥207
0%,1,Avery,"Avery 装订机, 回收",￥0,2017/7/1,中国,中南,许昌,装订机,李黎明,0%,2,河南,办公用品,小型企业,CN-2017-3230180,2017/6/26,标准级,￥124
15%,1,SanDisk,"SanDisk 笔记本, 优质",￥63,2014/8/11,中国,中南,深圳,纸张,肖良,0%,3,广东,办公用品,消费者,CN-2014-1597520,2014/8/9,一级,￥417
22%,1,Rogers,"Rogers 锁柜, 单宽度",￥869,2014/8/11,中国,中南,深圳,收纳具,肖良,0%,4,广东,办公用品,消费者,CN-2014-1597520,2014/8/9,一级,"￥3,951"
11%,1,Eldon,"Eldon 文件车, 工业",￥263,2016/5/31,中国,华东,南昌,收纳具,余德,0%,4,江西,办公用品,小型企业,CN-2016-4957098,2016/5/27,标准级,"￥2,396"
5%,1,Avery,"Avery 打孔机, 实惠",￥13,2014/5/25,中国,华东,济南,装订机,邢立荣,0%,2,山东,办公用品,消费者,CN-2014-5278891,2014/5/19,标准级,￥260
9%,1,Avery,"Avery 订书机, 回收",￥62,2014/5/25,中国,华东,济南,装订机,邢立荣,0%,3,山东,办公用品,消费者,CN-2014-5278891,2014/5/19,标准级,￥689
46%,1,Kraft,"Kraft 搭扣信封, 银色",￥49,2014/9/24,中国,华东,南昌,信封,黄康,0%,2,江西,办公用品,消费者,CN-2014-4292548,2014/9/21,二级,￥106
15%,1,Ames,"Ames 外皮和封条, 每套 50 个",￥52,2017/6/12,中国,华东,安庆,信封,孟刚,0%,4,安徽,办公用品,公司,CN-2017-5022660,2017/6/8,标准级,￥349
29%,1,罗技,"罗技 鼠标, 实惠",￥238,2017/6/12,中国,华东,安庆,配件,孟刚,0%,6,安徽,技术,公司,CN-2017-5022660,2017/6/8,标准级,￥820
5%,1,Hon,"Hon 折叠椅, 黑色",￥37,2017/6/12,中国,华东,安庆,椅子,孟刚,0%,2,安徽,家具,公司,CN-2017-5022660,2017/6/8,标准级,￥737
2%,1,OIC,"OIC 按钉, 每包 12 个",￥5,2016/7/24,中国,中南,平顶山,系固件,武廷,0%,4,河南,办公用品,消费者,CN-2016-3245528,2016/7/18,标准级,￥268
29%,1,罗技,"罗技 鼠标, 实惠",￥119,2016/7/24,中国,中南,平顶山,配件,武廷,0%,3,河南,技术,消费者,CN-2016-3245528,2016/7/18,标准级,￥410
-45%,1,Chromcraft,"Chromcraft 会议桌, 长方形","-￥1,462",2017/6/14,中国,西南,潼川,桌子,巩虢,60%,2,四川,家具,公司,US-2017-2162302,2017/6/12,二级,"￥3,249"
-22%,1,Stockwell,"Stockwell 回形针, 每包 12 个",-￥25,2017/6/14,中国,西南,潼川,系固件,巩虢,40%,3,四川,办公用品,公司,US-2017-2162302,2017/6/12,二级,￥112
11%,1,SanDisk,"SanDisk 羊皮纸, 多色",￥46,2017/6/14,中国,西南,潼川,纸张,巩虢,0%,5,四川,办公用品,公司,US-2017-2162302,2017/6/12,二级,￥423
16%,1,Hamilton Beach,"Hamilton Beach 烤面包机, 银色",￥43,2014/12/10,中国,中南,乐城,器具,殷珑,0%,1,广东,办公用品,公司,CN-2014-4940133,2014/12/8,二级,￥272
6%,1,柯尼卡,"柯尼卡 卡片打印机, 耐用",￥147,2015/10/26,中国,华东,枣庄,设备,王立勤,0%,3,山东,技术,公司,CN-2015-4461870,2015/10/19,标准级,"￥2,454"
48%,1,Rogers,"Rogers 文件夹, 蓝色",￥550,2015/3/14,中国,西南,内江,收纳具,陶丽雪,0%,8,四川,办公用品,公司,CN-2015-2957814,2015/3/12,一级,"￥1,146"
-42%,1,Stiletto,"Stiletto 尺子, 锯齿状",-￥82,2015/3/14,中国,西南,内江,用品,陶丽雪,40%,6,四川,办公用品,公司,CN-2015-2957814,2015/3/12,一级,￥195
11%,1,Kraft,"Kraft 局间信封, 红色",￥52,2015/3/5,中国,华东,上海,信封,周诚,0%,2,上海,办公用品,消费者,CN-2015-2571041,2015/2/28,标准级,￥471
36%,1,Breville,"Breville 冰箱, 红色","￥2,617",2014/12/2,中国,华东,宁海,器具,潘荷,0%,3,山东,办公用品,小型企业,CN-2014-4163182,2014/11/30,二级,"￥7,271"
27%,1,Acco,"Acco 订书机, 耐用",￥331,2014/12/2,中国,华东,宁海,装订机,潘荷,0%,5,山东,办公用品,小型企业,CN-2014-4163182,2014/11/30,二级,"￥1,227"
44%,1,Harbour Creations,"Harbour Creations 扶手椅, 红色","￥2,917",2015/6/18,中国,华北,邯郸,椅子,许凤,0%,3,河北,家具,公司,CN-2015-1640388,2015/6/13,标准级,"￥6,631"
29%,1,Ibico,"Ibico 装订机, 实惠",￥125,2015/6/18,中国,华北,邯郸,装订机,许凤,0%,6,河北,办公用品,公司,CN-2015-1640388,2015/6/13,标准级,￥433
26%,1,Deflect-O,"Deflect-O 门挡, 一包多件",￥320,2015/12/14,中国,西南,昭通,用具,严盛,0%,6,云南,家具,消费者,CN-2015-2386979,2015/12/7,标准级,"￥1,232"
25%,1,Office Star,"Office Star 沙滩椅, 红色",￥194,2015/12/14,中国,西南,昭通,椅子,严盛,0%,3,云南,家具,消费者,CN-2015-2386979,2015/12/7,标准级,￥776
3%,1,Barricks,"Barricks 木桌, 长方形",￥192,2015/12/14,中国,西南,昭通,桌子,严盛,40%,4,云南,家具,消费者,CN-2015-2386979,2015/12/7,标准级,"￥5,762"
40%,1,Wilson Jones,"Wilson Jones 孔加固材料, 透明",￥52,2015/12/14,中国,西南,昭通,装订机,严盛,0%,7,云南,办公用品,消费者,CN-2015-2386979,2015/12/7,标准级,￥130
33%,1,Deflect-O,"Deflect-O 分层置放架, 一包多件",￥156,2015/5/10,中国,华北,长治,用具,麦虢,0%,4,山西,家具,公司,CN-2015-1785047,2015/5/3,标准级,￥473
6%,1,Harbour Creations,"Harbour Creations 折叠椅, 每套两件",￥84,2015/5/10,中国,华北,长治,椅子,麦虢,0%,3,山西,家具,公司,CN-2015-1785047,2015/5/3,标准级,"￥1,402"
29%,1,Hon,"Hon 木桌, 长方形","￥2,715",2015/5/10,中国,华北,长治,桌子,麦虢,25%,5,山西,家具,公司,CN-2015-1785047,2015/5/3,标准级,"￥9,256"
-48%,1,Memorex,"Memorex 键盘, 可编程",-￥197,2017/5/6,中国,华东,上虞,配件,麦实,40%,2,浙江,技术,公司,CN-2017-3230180,2017/5/1,标准级,￥408
-60%,1,佳能,"佳能 传真复印机, 每套两件","-￥2,893",2017/5/6,中国,华东,上虞,复印机,麦实,40%,9,浙江,技术,公司,CN-2017-3230180,2017/5/1,标准级,"￥4,822"
31%,1,Dania,"Dania 墙角架, 白色","￥1,441",2015/5/23,中国,华东,上海,书架,徐虢,0%,8,上海,家具,公司,CN-2015-3230543,2015/5/19,标准级,"￥4,651"
28%,1,Boston,"Boston 速写本, 整包",￥128,2015/5/23,中国,华东,上海,美术,徐虢,0%,2,上海,办公用品,公司,CN-2015-3230543,2015/5/19,标准级,￥456
4%,1,思科,"思科 充电器, 蓝色",￥243,2015/5/23,中国,华东,上海,电话,徐虢,0%,2,上海,技术,公司,CN-2015-3230543,2015/5/19,标准级,"￥6,080"
5%,1,Hon,"Hon 折叠椅, 黑色",￥92,2015/5/27,中国,西南,昆明,椅子,倪芬,0%,5,云南,家具,小型企业,CN-2015-1756643,2015/5/24,二级,"￥1,843"
28%,1,Deflect-O,"Deflect-O 闹钟, 黑色",￥197,2015/5/27,中国,西南,昆明,用具,倪芬,0%,3,云南,家具,小型企业,CN-2015-1756643,2015/5/24,二级,￥704
3%,1,Novimex,"Novimex 可去除的标签, 可调",￥1,2017/6/17,中国,华北,北京,标签,曹欢悦,0%,1,北京,办公用品,小型企业,CN-2017-4676940,2017/6/13,标准级,￥36
47%,1,Smead,"Smead 文件夹标签, 可调",￥30,2017/6/17,中国,华北,北京,标签,曹欢悦,0%,2,北京,办公用品,小型企业,CN-2017-4676940,2017/6/13,标准级,￥63
14%,1,OIC,"OIC 回形针, 每包 12 个",￥27,2017/6/17,中国,华北,北京,系固件,曹欢悦,0%,3,北京,办公用品,小型企业,CN-2017-4676940,2017/6/13,标准级,￥194
48%,1,BIC,"BIC 钢笔, 金属",￥139,2017/6/17,中国,华北,北京,美术,曹欢悦,0%,4,北京,办公用品,小型企业,CN-2017-4676940,2017/6/13,标准级,￥290
30%,1,StarTech,"StarTech 打印机, 多色","￥1,076",2017/6/17,中国,华北,北京,设备,曹欢悦,0%,3,北京,技术,小型企业,CN-2017-4676940,2017/6/13,标准级,"￥3,586"
9%,1,Kraft,"Kraft 邮寄品, 每套 50 个",￥78,2017/6/17,中国,华北,北京,信封,曹欢悦,0%,5,北京,办公用品,小型企业,CN-2017-4676940,2017/6/13,标准级,￥879
22%,1,Hewlett,"Hewlett 无线传真机, 红色",￥777,2017/6/17,中国,华北,北京,复印机,曹欢悦,0%,2,北京,技术,小型企业,CN-2017-4676940,2017/6/13,标准级,"￥3,532"
-10%,1,Advantus,"Advantus 闹钟, 耐用",-￥27,2015/3/1,中国,华北,呼和浩特,用具,范宁,40%,2,内蒙古,家具,小型企业,US-2015-5579979,2015/2/22,标准级,￥271
11%,1,Cameo,"Cameo 局间信封, 红色",￥104,2015/3/1,中国,华北,呼和浩特,信封,范宁,0%,4,内蒙古,办公用品,小型企业,US-2015-5579979,2015/2/22,标准级,￥951
15%,1,Safco,"Safco 墙角架, 金属",￥437,2015/3/1,中国,华北,呼和浩特,书架,范宁,40%,7,内蒙古,家具,小型企业,US-2015-5579979,2015/2/22,标准级,"￥2,919"
-67%,1,Stockwell,"Stockwell 订书钉, 混合尺寸",-￥46,2015/3/1,中国,华北,呼和浩特,系固件,范宁,40%,3,内蒙古,办公用品,小型企业,US-2015-5579979,2015/2/22,标准级,￥69
39%,1,Eldon,"Eldon 文件车, 金属",￥693,2017/12/8,中国,华北,良乡,收纳具,卢伟,0%,3,北京,办公用品,消费者,CN-2017-2448028,2017/12/1,标准级,"￥1,777"
34%,1,Novimex,"Novimex 合法证物标签, 白色",￥50,2017/12/8,中国,华北,良乡,标签,卢伟,0%,3,北京,办公用品,消费者,CN-2017-2448028,2017/12/1,标准级,￥147
27%,1,SanDisk,"SanDisk 信纸, 多色",￥188,2015/1/19,中国,西南,内江,纸张,邓秋,0%,3,四川,办公用品,公司,CN-2015-2491194,2015/1/14,二级,￥698
-25%,1,Sauder,"Sauder 古典书架, 传统",-￥916,2015/1/19,中国,西南,内江,书架,邓秋,40%,3,四川,家具,公司,CN-2015-2491194,2015/1/14,二级,"￥3,662"
-14%,1,Ibico,"Ibico 装订机, 回收",-￥30,2015/1/19,中国,西南,内江,装订机,邓秋,40%,5,四川,办公用品,公司,CN-2015-2491194,2015/1/14,二级,￥222
-20%,1,宜家,"宜家 书库, 白色",-￥820,2016/6/11,中国,中南,襄樊,书架,邓实,40%,4,湖北,家具,消费者,CN-2016-4988987,2016/6/7,标准级,"￥4,098"
43%,1,苹果,"苹果 信号增强器, 全尺寸","￥1,384",2016/10/14,中国,东北,吉林市,电话,秦刚,0%,5,吉林,技术,公司,CN-2016-3028018,2016/10/7,标准级,"￥3,219"
6%,1,Avery,"Avery 装订机盖, 实惠",￥15,2017/6/2,中国,华北,秦皇岛,装订机,彭娜,0%,5,河北,办公用品,消费者,CN-2017-2575295,2017/5/30,一级,￥258
41%,1,Safco,"Safco 书架, 白色","￥1,449",2017/6/2,中国,华北,秦皇岛,书架,彭娜,0%,5,河北,家具,消费者,CN-2017-2575295,2017/5/30,一级,"￥3,535"
2%,1,Novimex,"Novimex 合法证物标签, 红色",￥3,2016/10/15,中国,中南,武汉,标签,彭安,0%,3,湖北,办公用品,公司,CN-2016-3551529,2016/10/9,标准级,￥144
-52%,1,思科,"思科 音频基座, 混合尺寸",-￥803,2017/8/25,中国,华东,宁波,电话,李康,40%,3,浙江,技术,消费者,US-2017-5235171,2017/8/21,标准级,"￥1,553"
11%,1,Jiffy,"Jiffy 搭扣信封, 回收",￥7,2017/8/25,中国,华东,宁波,信封,李康,0%,2,浙江,办公用品,消费者,US-2017-5235171,2017/8/21,标准级,￥68
20%,1,Hewlett,"Hewlett 传真复印机, 每套两件",￥180,2015/6/11,中国,东北,长春,复印机,熊临耀,0%,1,吉林,技术,消费者,CN-2015-5359666,2015/6/4,标准级,￥900
12%,1,Breville,"Breville 搅拌机, 银色",￥356,2014/10/21,中国,华东,宁波,器具,韩莞颖,40%,12,浙江,办公用品,小型企业,CN-2014-5671165,2014/10/18,一级,"￥3,057"
2%,1,Novimex,"Novimex 沙滩椅, 可调",￥27,2016/12/12,中国,华东,淮南,椅子,蒋安,0%,6,安徽,家具,小型企业,CN-2016-2052338,2016/12/5,标准级,"￥1,357"
14%,1,OIC,"OIC 回形针, 每包 12 个",￥36,2016/12/12,中国,华东,淮南,系固件,蒋安,0%,4,安徽,办公用品,小型企业,CN-2016-2052338,2016/12/5,标准级,￥259
-3%,1,苹果,"苹果 音频基座, 全尺寸",-￥79,2014/3/25,中国,西北,平凉,电话,冯丽,40%,5,甘肃,技术,消费者,US-2014-3569049,2014/3/19,标准级,"￥2,355"
-255%,1,Stanley,"Stanley 荧光笔, 金属",-￥76,2014/3/25,中国,西北,平凉,美术,冯丽,80%,2,甘肃,办公用品,消费者,US-2014-3569049,2014/3/19,标准级,￥30
27%,1,SanDisk,"SanDisk 信纸, 多色",￥188,2016/9/23,中国,中南,百色,纸张,沈光,0%,3,广西,办公用品,小型企业,CN-2016-1753680,2016/9/21,二级,￥698
39%,1,Stockwell,"Stockwell 回形针, 金属",￥76,2016/9/23,中国,中南,百色,系固件,沈光,0%,3,广西,办公用品,小型企业,CN-2016-1753680,2016/9/21,二级,￥196
14%,1,Office Star,"Office Star 折叠椅, 可调",￥123,2014/12/14,中国,华北,太原,椅子,李康,0%,2,山西,家具,消费者,CN-2014-2558627,2014/12/8,标准级,￥879
47%,1,Safco,"SAFCO 扶手椅, 每套两件","￥2,034",2014/12/14,中国,华北,太原,椅子,李康,0%,2,山西,家具,消费者,CN-2014-2558627,2014/12/8,标准级,"￥4,328"
49%,1,Avery,"Avery 圆形标签, 耐用",￥85,2014/12/14,中国,华北,太原,标签,李康,0%,5,山西,办公用品,消费者,CN-2014-2558627,2014/12/8,标准级,￥176
9%,1,施乐,"施乐 令, 回收",￥33,2016/9/19,中国,华东,烟台,纸张,罗婵,0%,3,山东,办公用品,消费者,CN-2016-2872339,2016/9/17,二级,￥368
10%,1,Hoover,"Hoover 搅拌机, 红色",￥54,2016/5/11,中国,中南,沙市,器具,彭婉,40%,2,湖北,办公用品,公司,CN-2016-5360498,2016/5/5,标准级,￥544
-24%,1,Accos,"Accos 图钉, 混合尺寸",-￥15,2016/5/11,中国,中南,沙市,系固件,彭婉,40%,2,湖北,办公用品,公司,CN-2016-5360498,2016/5/5,标准级,￥62
50%,1,Smead,"Smead 有色标签, 红色",￥30,2016/6/15,中国,中南,阳江,标签,邵娜,0%,1,广东,办公用品,小型企业,CN-2016-2491194,2016/6/10,标准级,￥60
46%,1,摩托罗拉,"摩托罗拉 办公室电话机, 全尺寸",￥941,2015/9/7,中国,中南,蒲庙,电话,夏松,0%,6,广西,技术,小型企业,CN-2015-2468928,2015/9/3,标准级,"￥2,045"
-7%,1,Breville,"Breville 冰箱, 红色",-￥194,2017/7/12,中国,华北,丰镇,器具,楚宣,40%,2,内蒙古,办公用品,消费者,US-2017-1969167,2017/7/7,标准级,"￥2,908"
-30%,1,Avery,"Avery 订书机, 实惠",-￥164,2017/7/12,中国,华北,丰镇,装订机,楚宣,40%,4,内蒙古,办公用品,消费者,US-2017-1969167,2017/7/7,标准级,￥547
17%,1,Hon,"Hon 椅垫, 可调",￥54,2016/1/7,中国,西南,自贡,椅子,施平,40%,2,四川,家具,小型企业,CN-2015-2330839,2015/12/31,标准级,￥325
-3%,1,Ibico,"Ibico 订书机, 回收",-￥5,2016/1/7,中国,西南,自贡,装订机,施平,40%,1,四川,办公用品,小型企业,CN-2015-2330839,2015/12/31,标准级,￥145
-28%,1,Sauder,"Sauder 书架, 金属",-￥232,2016/1/7,中国,西南,自贡,书架,施平,40%,2,四川,家具,小型企业,CN-2015-2330839,2015/12/31,标准级,￥819
-45%,1,Cardinal,"Cardinal 孔加固材料, 实惠",-￥34,2016/1/7,中国,西南,自贡,装订机,施平,40%,5,四川,办公用品,小型企业,CN-2015-2330839,2015/12/31,标准级,￥75
-8%,1,KitchenAid,"KitchenAid 烤面包机, 黑色",-￥20,2016/9/13,中国,华东,宁海,器具,余德,40%,1,浙江,办公用品,小型企业,CN-2016-4497265,2016/9/10,一级,￥237
-7%,1,Harbour Creations,"Harbour Creations 摇椅, 每套两件",-￥28,2016/9/13,中国,华东,宁海,椅子,余德,40%,1,浙江,家具,小型企业,CN-2016-4497265,2016/9/10,一级,￥418
3%,1,Cardinal,"Cardinal 标签, 耐用",￥2,2016/9/13,中国,华东,宁海,装订机,余德,40%,3,浙江,办公用品,小型企业,CN-2016-4497265,2016/9/10,一级,￥74
13%,1,Enermax,"Enermax 信纸, 回收",￥256,2014/5/18,中国,东北,四平,纸张,巩德,0%,9,吉林,办公用品,小型企业,CN-2014-1958951,2014/5/12,标准级,"￥1,974"
46%,1,Acco,"Acco 标签, 实惠",￥55,2017/8/25,中国,中南,信阳,装订机,何安,0%,3,河南,办公用品,小型企业,CN-2017-1391849,2017/8/20,标准级,￥120
22%,1,Rogers,"Rogers 锁柜, 单宽度",￥652,2016/9/6,中国,西北,石河子,收纳具,罗婵,0%,3,新疆,办公用品,消费者,CN-2016-4188418,2016/9/3,二级,"￥2,963"
30%,1,Enermax,"Enermax 信纸, 优质",￥66,2014/1/14,中国,东北,牡丹江,纸张,方蔓楚,0%,1,黑龙江,办公用品,消费者,CN-2014-5895003,2014/1/10,二级,￥220
21%,1,Enermax,"Enermax 备忘录便条, 回收",￥106,2014/1/14,中国,东北,牡丹江,纸张,方蔓楚,0%,7,黑龙江,办公用品,消费者,CN-2014-5895003,2014/1/10,二级,￥509
41%,1,Kraft,"Kraft 商业信封, 银色",￥108,2015/11/29,中国,西北,汉中,信封,汤欢悦,0%,3,陕西,办公用品,消费者,CN-2015-3028018,2015/11/23,标准级,￥264
20%,1,Boston,"Boston 记号笔, 金属",￥185,2017/1/12,中国,东北,鹤岗,美术,邹涛,20%,9,黑龙江,办公用品,公司,CN-2017-5907567,2017/1/8,标准级,￥928
12%,1,Accos,"Accos 橡皮筋, 整包",￥28,2015/2/3,中国,东北,恒山,系固件,袁栋,0%,3,黑龙江,办公用品,消费者,CN-2015-3223872,2015/2/1,一级,￥234
49%,1,GlobeWeis,"GlobeWeis 外皮和封条, 红色",￥171,2015/2/3,中国,东北,恒山,信封,袁栋,0%,3,黑龙江,办公用品,消费者,CN-2015-3223872,2015/2/1,一级,￥349
41%,1,Fiskars,"Fiskars 大剪刀, 锯齿状",￥254,2016/6/11,中国,中南,浯溪,用品,程雯,0%,3,湖南,办公用品,消费者,CN-2016-1397931,2016/6/7,二级,￥621
7%,1,Stanley,"Stanley 记号笔, 蓝色",￥31,2016/6/11,中国,中南,浯溪,美术,程雯,20%,5,湖南,办公用品,消费者,CN-2016-1397931,2016/6/7,二级,￥414
11%,1,Harbour Creations,"Harbour Creations 运输标签, 白色",￥12,2016/6/11,中国,中南,浯溪,标签,程雯,0%,2,湖南,办公用品,消费者,CN-2016-1397931,2016/6/7,二级,￥107
25%,1,Bush,"Bush 柜, 金属","￥1,499",2016/6/11,中国,中南,浯溪,书架,程雯,0%,9,湖南,家具,消费者,CN-2016-1397931,2016/6/7,二级,"￥5,999"
43%,1,Fiskars,"Fiskars 开信刀, 工业",￥59,2017/6/20,中国,中南,韶关,用品,戴立,0%,1,广东,办公用品,消费者,CN-2017-5821791,2017/6/19,一级,￥138
26%,1,Cardinal,"Cardinal 标签, 实惠",￥17,2017/6/20,中国,中南,韶关,装订机,戴立,0%,2,广东,办公用品,消费者,CN-2017-5821791,2017/6/19,一级,￥68
16%,1,Cameo,"Cameo 邮寄品, 回收",￥28,2016/3/13,中国,西南,绵阳,信封,康娇,0%,1,四川,办公用品,消费者,CN-2016-4719760,2016/3/9,二级,￥172
